"filename", "language", "JavaScript", "JSON", "Vue", "SCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\vue\Demo\big-event\README.md", "Markdown", 0, 0, 0, 0, 18, 0, 0, 12, 30
"c:\Users\ASUS\Desktop\vue\Demo\big-event\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\ASUS\Desktop\vue\Demo\big-event\package-lock.json", "JSON", 0, 1560, 0, 0, 0, 0, 0, 1, 1561
"c:\Users\ASUS\Desktop\vue\Demo\big-event\package.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 1, 25
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\App.vue", "Vue", 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\api\article.js", "JavaScript", 26, 0, 0, 0, 0, 0, 11, 8, 45
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\api\customer.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 7, 17
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\api\desk.js", "JavaScript", 14, 0, 0, 0, 0, 0, 4, 5, 23
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\api\discount.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\api\order.js", "JavaScript", 17, 0, 0, 0, 0, 0, 5, 6, 28
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\api\orderdetail.js", "JavaScript", 14, 0, 0, 0, 0, 0, 4, 5, 23
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\api\user.js", "JavaScript", 29, 0, 0, 0, 0, 0, 8, 7, 44
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\assets\main.scss", "SCSS", 0, 0, 0, 16, 0, 0, 1, 3, 20
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\main.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\router\index.js", "JavaScript", 38, 0, 0, 0, 0, 0, 4, 9, 51
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\stores\token.js", "JavaScript", 16, 0, 0, 0, 0, 0, 11, 4, 31
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\stores\userInfo.js", "JavaScript", 13, 0, 0, 0, 0, 0, 1, 7, 21
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\utils\request.js", "JavaScript", 37, 0, 0, 0, 0, 0, 17, 9, 63
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\views\Layout.vue", "Vue", 0, 0, 190, 0, 0, 0, 22, 14, 226
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\views\LayoutEmploy.vue", "Vue", 0, 0, 138, 0, 0, 0, 22, 14, 174
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\views\Login.vue", "Vue", 0, 0, 149, 0, 0, 0, 33, 14, 196
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\views\article\ArticleCategory.vue", "Vue", 0, 0, 152, 0, 0, 0, 21, 17, 190
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\views\article\ArticleManage.vue", "Vue", 0, 0, 316, 0, 0, 0, 46, 45, 407
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\views\desk\Desk.vue", "Vue", 0, 0, 194, 0, 0, 0, 29, 36, 259
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\views\order\Choose.vue", "Vue", 0, 0, 408, 0, 0, 0, 65, 93, 566
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\views\order\Order.vue", "Vue", 0, 0, 380, 0, 0, 0, 43, 73, 496
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\views\user\UserAvatar.vue", "Vue", 0, 0, 83, 0, 0, 0, 5, 15, 103
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\views\user\UserInfo.vue", "Vue", 0, 0, 54, 0, 0, 0, 3, 4, 61
"c:\Users\ASUS\Desktop\vue\Demo\big-event\src\views\user\UserResetPassword.vue", "Vue", 0, 0, 78, 0, 0, 0, 6, 8, 92
"c:\Users\ASUS\Desktop\vue\Demo\big-event\vite.config.js", "JavaScript", 30, 0, 0, 0, 0, 0, 1, 5, 36
"Total", "-", 270, 1584, 2149, 16, 18, 13, 367, 435, 4852
